Date,Community,Rainfall,Temperature,Humidity,Soil moisture,Flood_Risk
2018-01-01,Buguruni,0.0,15.0,66.66666666666666,0.25,Low
2018-01-01,Hananasif,0.0,15.0,66.66666666666666,0.25,Low
2018-01-01,Jangwani,0.0,15.0,66.66666666666666,0.25,Low
2018-01-01,Keko,0.0,27.8969830830892,82.27425915513099,0.2931969960530599,Low
2018-01-01,Kigogo,0.0,15.0,66.66666666666666,0.25,Low
2018-01-01,Manzese,0.0,15.0,66.66666666666666,0.25,Low
2018-01-01,Mbagala,0.0,27.8969830830892,82.27425915513099,0.2931969960530599,Low
2018-01-01,Sinza,0.0,27.73308334350588,82.00517490356647,0.273468017578125,Low
2018-01-01,Tandale,0.0,15.0,66.66666666666666,0.25,Low
2018-01-01,Vingunguti,0.0,15.0,66.66666666666666,0.25,Low
2018-01-02,Vingunguti,0.0,15.0,66.66666666666666,0.25,Low
2018-01-02,Tandale,0.0,15.0,66.66666666666666,0.25,Low
2018-01-02,Sinza,0.0,28.29171206156417,83.69458304913412,0.264719009399414,Low
2018-01-02,Mbagala,0.0,28.3800095876058,84.03751356073118,0.2849311828613281,Low
2018-01-02,Manzese,0.0,15.0,66.66666666666666,0.25,Low
2018-01-02,Hananasif,0.0,15.0,66.66666666666666,0.25,Low
2018-01-02,Keko,0.0,28.3800095876058,84.03751356073118,0.2849311828613281,Low
2018-01-02,Jangwani,0.0,15.0,66.66666666666666,0.25,Low
2018-01-02,Buguruni,0.0,15.0,66.66666666666666,0.25,Low
2018-01-02,Kigogo,0.0,15.0,66.66666666666666,0.25,Low
2018-01-03,Sinza,22.75226783752441,28.01920852661135,84.49407693658469,0.2687562306722005,Low
2018-01-03,Vingunguti,14.364727020263672,15.0,66.66666666666666,0.25,Low
2018-01-03,Tandale,16.550283432006836,15.0,66.66666666666666,0.25,Low
2018-01-03,Manzese,22.75226783752441,15.0,66.66666666666666,0.25,Low
2018-01-03,Mbagala,20.27134323120117,28.084963734944665,85.14584033653738,0.2856871287027995,Low
2018-01-03,Keko,0.0,28.084963734944665,85.14584033653738,0.2856871287027995,Low
2018-01-03,Kigogo,16.550283432006836,15.0,66.66666666666666,0.25,Low
2018-01-03,Jangwani,16.550283432006836,15.0,66.66666666666666,0.25,Low
2018-01-03,Hananasif,16.550283432006836,15.0,66.66666666666666,0.25,Low
